name,frequency
Radio Amore Dance,87.5
Radio Phenomena<,87.7
VIRGIN,87.9
Rai Radio (Sicilia),88.2
Radio Cuore,88.5
Radio Medua,88.7
VIRGIN,88.8
RDS Radio Dimensione Suono,89.0
KISSKISS,89.2
Radio Zeta l’Italiana,89.5
Radio Freccia,89.6
Radio Maria,89.8
Radio Vaticana,89.8
Radio Ricordi,90.0
Rai Radio,90.2
Radio Deejay,90.4
Radio Capital,90.6
Radio Italia,90.9
Radio,91.1
R 101,91.3
RDS Radio Dimensione Suono,91.5
Radio Telecolor,91.9
Rai Radio,92.2
Radio Gamma non stop,92.5
Radio Messaggio Cristiano,92.8
Radio Azzurra,93.0
Radio Sportiva,93.2
KISSKISS,93.4
RSC Radio Studio Centrale,93.6
RDS Radio Dimensione Suono,93.8
R 101,94.0
Radio Margherita,94.3
M DUE O Radio,94.5
Radio Deejay,94.8
Radio Idea,95.0
Rai Radio (Calabria),95.3
Radio Cuore,95.5
Radio Maria,95.9
Radio Vaticana,95.9
Radio Radicale,96.1
Radio Mater,96.3
Radio Mater,96.6
Radio Splash,96.8
Radio Messina Sud,97.0
Rai Radio,97.3
Radio Italia,97.6
KISSKISS,97.9
RADIO NEWS24,98.1
Radio Freccia,98.2
Radio Sportiva,98.4
Studio 90 Italia,98.7
Radio Zenith,98.9
Radio LatteMiele,99.1
Rai Radio,99.3
Gr Parlamento,99.6
Radio LatteMiele,99.8
Radio Sound,100.1
Febea Radio,100.3
Febea Radio,100.6
Radio Zenith,100.9
Radio LatteMiele,101.1
Radio Messina Quartiere,101.4
Radio Messina Quartiere,101.7
Radio Antenna dello Stretto,102.8
Radio Antenna dello Stretto,103.1
Radio Street,103.3
RDS Radio Dimensione Suono,103.5
Radio RC International,103.7
Rai Radio (Sicilia),103.9
Rai Isoradio,104.2
Radio Touring,104.4
Radio,104.7
Radio Cuore Ricorda,104.9
Radio Monte Carlo,105.1
Radio Italia,105.5
Radio Amore,105.8
Radio Margherita,106.0
VIRGIN,106.2
Radio Maria,106.5
Radio Vaticana,106.5
Radio Cuore Ricorda,106.7
Radio Jukebox,106.9
Radio LatteMiele,107.2
KISSKISS,107.5
Rai Radio (Sicilia),1062.0
Rai Radio (Sicilia),1116.0
