name,frequency,pi
Radio 1 Rai,94.700,5201
Radio 2 Rai,96.700,5202
Radio 3 Rai,98.700,5203
Bella Radio,103.700,531D
Fantastica,89.200,5274
GR Parlamento,89,5206
GR Parlamento,92.3,5206
KISSKISS,98.4,5225
KISSKISS,106.2,5225
M DUE O,97.7,5233
M DUE O,99.7,5233
R 101,92.7,5215
R 101,96.1,5215
R 101,97,5215
Radio 105,90.2,5211
Radio 105,100.3,5211
RADIO 24,97.900,5245
Radio Amore,88.6,5621
Radio Amore,99,5621
Radio Amore Blu,92.000,5098
Radio Amore Dance,87.800,5357
Radio Amore I Migliori Anni,91.600,505A
Radio Antenna Uno,101.600,5159
Radio Capital,104.600,5219
Radio Catania,104.900,50FC
Radio Cuore,93.000,522F
Radio Deejay,89.6,5214
Radio Deejay,104.1,5214
Radio Deejay,104.4,5214
Radio Delfino,90.400,50DF
Radio Etna Espresso,105.700,5085
Radio Evangelo Catania,91.100,50E9.
Radio Flash,97.300,5068
Radio Italia,93.500,5220
Radio Jukebox,89.800,5398
Radio Margherita,107.4,5242
Radio Margherita,107.6,5242
Radio Maria,88,51CC
Radio Maria,100,51CC
Radio Maria,102.5,51CC
Radio Maria,103.5,51CC
Radio Maria,107.2,51CC
Radio Mater,92.500,5158
Radio Mediterraneo,95.000,518F
RADIO NEWS24,90.000,
Radio Radicale,90.7,5210
Radio Radicale,102,5210
Radio Ricordi,88.200,5082
Radio Smile,93.200,5158
Radio Sportiva,95.900,5244
Radio Telecolor,101.300,55D3
Radio Una Voce Vicina,104.000,
Radio Universal,89.400,
Radio Video 3,103.000,
Radio Zammù,101.000,
Radio Zeta l’Italiana,95.6,5299
Radio Zeta l’Italiana,106.8,5299
RadioABC,98.100,
RDS Radio Dimensione Suono,99.4,5264
RDS Radio Dimensione Suono,103.2,5264
RDS Radio Dimensione Suono,107.9,5264
RGS Radio Giornale di Sicilia,100.600,5423
RMC Radio Montecarlo,94.200,5213
RSC Italia,88.400,
RSC Radio Studio Centrale,96.4,
RSC Radio Studio Centrale,104.3,
RSI Radio Studio Italia,91.3,
RTL102.5,93.8,5218
RTL102.5,101.8,5218
RTL102.5,102,5218
RTL102.5,102.2,5218
RTL102.5,102.7,5218
RVS Radio Voce della Speranza,97.500,5271
Studio 90 Italia,87.500,5397
STUDIO54,94.400,5336
VIRGIN,88.8,5241
VIRGIN,106.5,5241
