Comune,Provincia,Popolazione,Superficie,Altitudine
Acate,Ragusa,9 574,"102,47",199
Aci Bonaccorsi,Catania,3 200,"1,72",365
Aci Castello,Catania,18 122,"8,71",15
Aci Catena,Catania,28 749,"8,53",170
Aci Sant'Antonio,Catania,17 270,"14,33",302
Acireale,Catania,51 456,"40,43",161
Acquaviva Platani,Caltanissetta,1 041,"14,63",558
Acquedolci,Messina,5 744,"12,93",15
Adrano,Catania,35 549,"83,22",560
Agira,Enna,8 484,"164,08",650
Agrigento,Agrigento,58 323,"245,32",230
Aidone,Enna,4 929,"210,78",800
Alcamo,Trapani,45 314,"130,90",258
Alcara Li Fusi,Messina,2 072,"62,94",400
Alessandria della Rocca,Agrigento,3 118,"62,24",533
Alia,Palermo,3 806,"45,98",726
Alimena,Palermo,2 152,"59,70",740
Aliminusa,Palermo,1 291,"13,68",450
Altavilla Milicia,Palermo,7 429,"23,78",73
Altofonte,Palermo,10 266,"35,44",350
Alì,Messina,823,"15,94",450
Alì Terme,Messina,2 567,"6,27",9
Antillo,Messina,992,"43,64",480
Aragona,Agrigento,9 493,"74,70",400
Assoro,Enna,5 366,"112,15",850
Augusta,Siracusa,36 169,"111,16",15
Avola,Siracusa,31 328,"74,59",40
Bagheria,Palermo,54 257,"29,84",78
Balestrate,Palermo,6 413,"6,43",35
Barcellona Pozzo di Gotto,Messina,41 632,"59,14",60
Barrafranca,Enna,13 977,"53,71",450
Basicò,Messina,679,"12,07",520
Baucina,Palermo,2 014,"24,47",550
Belmonte Mezzagno,Palermo,11 149,"29,29",356
Belpasso,Catania,26 378,"166,33",551
Biancavilla,Catania,23 703,"70,28",515
Bisacquino,Palermo,4 829,"64,97",744
Bivona,Agrigento,3 882,"88,57",503
Blufi,Palermo,1 083,"21,98",725
Bolognetta,Palermo,3 932,"27,63",350
Bompensiere,Caltanissetta,610,"19,95",283
Bompietro,Palermo,1 474,"42,41",685
Borgetto,Palermo,7 021,"26,02",290
Brolo,Messina,5 826,"7,66",8
Bronte,Catania,19 234,"250,86",760
Buccheri,Siracusa,2 133,"57,83",820
