,comune,provincia,popolazione,superficie,altitudine,istat,lon,lat
0,Acate,Ragusa,9 574,"102,47",199,88001,14.49372908,37.02640029
1,Aci Bonaccorsi,Catania,3 200,"1,72",365,87001,15.10860732,37.59789361
2,Aci Castello,Catania,18 122,"8,71",15,87002,15.14523329,37.5558181
3,Aci Catena,Catania,28 749,"8,53",170,87003,15.14224165,37.60268159
4,Aci Sant'Antonio,Catania,17 270,"14,33",302,87005,15.12585282,37.60601727
5,Acireale,Catania,51 456,"40,43",161,87004,15.16628791,37.61215073
6,Acquaviva Platani,Caltanissetta,1 041,"14,63",558,85001,13.70014279,37.57170412
7,Acquedolci,Messina,5 744,"12,93",15,83107,14.58806194,38.05636112
8,Adrano,Catania,35 549,"83,22",560,87006,14.83268741,37.66181377
9,Agira,Enna,8 484,"164,08",650,86001,14.52379575,37.65721229
10,Agrigento,Agrigento,58 323,"245,32",230,84001,13.58457496,37.30971088
11,Aidone,Enna,4 929,"210,78",800,86002,14.44789122,37.4160022
12,Alcamo,Trapani,45 314,"130,90",258,81001,12.96497004,37.98060309
13,Alcara Li Fusi,Messina,2 072,"62,94",400,,,
14,Alessandria della Rocca,Agrigento,3 118,"62,24",533,84002,13.45348842,37.56973494
15,Alia,Palermo,3 806,"45,98",726,82001,13.71312654,37.77857858
16,Alimena,Palermo,2 152,"59,70",740,82002,14.11367406,37.69212923
17,Aliminusa,Palermo,1 291,"13,68",450,82003,13.78104483,37.86417485
18,Altavilla Milicia,Palermo,7 429,"23,78",73,82004,13.55045349,38.0423171
19,Altofonte,Palermo,10 266,"35,44",350,82005,13.29829071,38.04435532
20,Alì,Messina,823,"15,94",450,83002,15.41797276,38.02694065
21,Alì Terme,Messina,2 567,"6,27",9,83003,15.42261725,38.00375238
22,Antillo,Messina,992,"43,64",480,83004,15.24539421,37.97612979
23,Aragona,Agrigento,9 493,"74,70",400,84003,13.61778892,37.40243058
24,Assoro,Enna,5 366,"112,15",850,86003,14.42408648,37.62816262
25,Augusta,Siracusa,36 169,"111,16",15,89001,15.21944081,37.23060554
26,Avola,Siracusa,31 328,"74,59",40,89002,15.13544392,36.90839155
27,Bagheria,Palermo,54 257,"29,84",78,82006,13.51098444,38.07888292
28,Balestrate,Palermo,6 413,"6,43",35,82007,13.00438972,38.05131521
29,Barcellona Pozzo di Gotto,Messina,41 632,"59,14",60,83005,15.21857534,38.14692512
30,Barrafranca,Enna,13 977,"53,71",450,86004,14.20387847,37.37284964
31,Basicò,Messina,679,"12,07",520,83006,15.06175499,38.06159926
32,Baucina,Palermo,2 014,"24,47",550,82008,13.53723989,37.92512717
33,Belmonte Mezzagno,Palermo,11 149,"29,29",356,82009,13.39011115,38.0483523
34,Belpasso,Catania,26 378,"166,33",551,87007,14.97704833,37.59138844
35,Biancavilla,Catania,23 703,"70,28",515,87008,14.86954107,37.64125641
36,Bisacquino,Palermo,4 829,"64,97",744,82010,13.25873047,37.70578743
37,Bivona,Agrigento,3 882,"88,57",503,84004,13.44040048,37.61810993
38,Blufi,Palermo,1 083,"21,98",725,82082,14.07674064,37.75230981
39,Bolognetta,Palermo,3 932,"27,63",350,82011,13.45567566,37.96471871
40,Bompensiere,Caltanissetta,610,"19,95",283,85002,13.7806399,37.47263349
41,Bompietro,Palermo,1 474,"42,41",685,82012,14.09952174,37.74708402
42,Borgetto,Palermo,7 021,"26,02",290,82013,13.1427413,38.04642071
43,Brolo,Messina,5 826,"7,66",8,83007,14.82771691,38.15684761
44,Bronte,Catania,19 234,"250,86",760,87009,14.83289947,37.78751853
45,Buccheri,Siracusa,2 133,"57,83",820,89003,14.85046834,37.12651105
46,Burgio,Agrigento,2 780,"42,23",317,84005,13.28953712,37.59887056
47,Buscemi,Siracusa,1 128,"52,05",761,89004,14.88415569,37.08523351
48,Buseto Palizzolo,Trapani,3 031,"72,81",249,81002,12.71132304,38.01217232
49,Butera,Caltanissetta,4 937,"298,55",402,85003,14.18628296,37.18643008
50,Caccamo,Palermo,8 295,"188,23",521,82014,13.6635321,37.93179987
51,Calamonaci,Agrigento,1 375,"32,89",307,84006,13.29090306,37.52534229
52,Calascibetta,Enna,4 628,"89,12",691,86005,14.27309071,37.58955793
53,Calatabiano,Catania,5 383,"26,42",60,87010,15.22774979,37.82332843
54,Calatafimi Segesta,Trapani,6 738,"154,86",338,,,
55,Caltabellotta,Agrigento,3 907,"124,09",949,84007,13.21565014,37.57690304
56,Caltagirone,Catania,38 123,"383,38",608,87011,14.5127442,37.23808582
57,Caltanissetta,Caltanissetta,61 711,"421,25",568,85004,14.06184986,37.49213171
58,Caltavuturo,Palermo,4 171,"97,95",635,82015,13.89007124,37.82030861
59,Camastra,Agrigento,2 163,"16,32",340,84008,13.79377357,37.25215719
60,Cammarata,Agrigento,6 275,"192,46",682,84009,13.63797741,37.63272878
61,Campobello di Licata,Agrigento,10 438,"81,33",316,84010,13.91888981,37.25978333
62,Campobello di Mazara,Trapani,11 580,"65,83",110,81004,12.74409014,37.63458999
63,Campofelice di Fitalia,Palermo,548,"35,46",734,82016,13.48457087,37.82621584
64,Campofelice di Roccella,Palermo,6 918,"14,51",54,82017,13.88584537,37.9920103
65,Campofiorito,Palermo,1 332,"21,70",666,82018,13.26918551,37.75326228
66,Campofranco,Caltanissetta,3 218,"36,11",350,85005,13.71255278,37.51200991
67,Camporeale,Palermo,3 448,"38,72",425,82019,13.09530579,37.89700076
68,Camporotondo Etneo,Catania,4 476,"6,55",445,87012,15.00595832,37.56740031
69,Canicattini Bagni,Siracusa,7 186,"15,06",362,89005,15.06173869,37.03498945
70,Canicattì,Agrigento,34 863,"91,86",465,84011,13.84999085,37.36023871
71,Capaci,Palermo,11 030,"6,12",51,82020,13.23935186,38.17083872
72,Capizzi,Messina,3 347,"70,17",1 100,83008,14.47841766,37.84887419
73,Capo d'Orlando,Messina,13 260,"14,43",8,83009,14.74392536,38.16030299
74,Capri Leone,Messina,4 516,"6,76",400,83010,14.70723848,38.1075257
75,Carini,Palermo,35 681,"76,60",170,82021,13.18240939,38.1331909
76,Carlentini,Siracusa,17 958,"158,91",200,89006,15.0147705,37.27597703
77,Caronia,Messina,3 463,"227,26",304,83011,14.44076582,38.02470888
78,Casalvecchio Siculo,Messina,907,"33,62",420,83012,15.32349977,37.95821414
79,Cassaro,Siracusa,813,"19,62",550,89007,14.94764473,37.10522743
80,Castel di Iudica,Catania,4 748,"103,21",475,87013,14.64944945,37.49443804
81,Castel di Lucio,Messina,1 366,"28,78",753,83013,14.31045875,37.88722344
82,Castelbuono,Palermo,9 161,"60,79",423,82022,14.08825699,37.93384847
83,Casteldaccia,Palermo,10 884,"33,92",79,82023,13.53252086,38.05536784
84,Castell'Umberto,Messina,3 295,"11,43",660,83014,14.80687881,38.0845797
85,Castellammare del Golfo,Trapani,14 603,"127,32",26,81005,12.8804435,38.02637875
86,Castellana Sicula,Palermo,3 549,"73,20",765,82024,14.0440936,37.78176388
87,Castelmola,Messina,1 073,"16,83",529,83015,15.27665979,37.85818779
88,Casteltermini,Agrigento,8 422,"99,98",554,84012,13.64340312,37.54081015
89,Castelvetrano,Trapani,31 824,"209,76",187,81006,12.79163803,37.67916124
90,Castiglione di Sicilia,Catania,3 298,"118,90",621,87014,15.1223902,37.88270389
91,Castrofilippo,Agrigento,3 020,"18,08",470,84013,13.75018349,37.34868982
92,Castronovo di Sicilia,Palermo,3 175,"201,04",660,82025,13.6037351,37.67842244
93,Castroreale,Messina,2 548,"53,07",394,83016,15.21102502,38.09848356
94,Catania,Catania,293 902,"182,90",7,87015,15.08704738,37.50287801
95,Catenanuova,Enna,4 999,"11,22",170,86006,14.69145818,37.56792494
96,Cattolica Eraclea,Agrigento,3 975,"62,16",180,84014,13.39539987,37.43952809
97,Cefalà Diana,Palermo,1 007,"9,06",563,82026,13.46371561,37.9154063
98,Cefalù,Palermo,14 354,"66,24",16,82027,14.02202407,38.03969852
99,Centuripe,Enna,5 599,"174,20",730,86007,14.7414306,37.62030983
100,Cerami,Enna,2 150,"95,05",970,86008,14.50637122,37.81035063
101,Cerda,Palermo,5 391,"43,83",274,82028,13.81537105,37.9038606
102,Cesarò,Messina,2 572,"216,93",1 150,83017,14.71217827,37.84375488
103,Chiaramonte Gulfi,Ragusa,8 224,"127,38",668,88002,14.70126744,37.03157582
104,Chiusa Sclafani,Palermo,2 957,"57,55",658,82029,13.26987223,37.67706196
105,Cianciana,Agrigento,3 517,"38,08",390,84015,13.43525819,37.51744705
106,Ciminna,Palermo,3 845,"56,42",530,82030,13.5619533,37.89726194
107,Cinisi,Palermo,12 031,"33,16",75,82031,13.10913663,38.15490295
108,Collesano,Palermo,4 095,"108,17",468,82032,13.93754507,37.92105542
109,Comiso,Ragusa,30 214,"65,40",209,88003,14.60468609,36.94565701
110,Comitini,Agrigento,944,"21,89",350,84016,13.64362024,37.40860888
111,Condrò,Messina,481,"5,13",58,83018,15.32648511,38.17570357
112,Contessa Entellina,Palermo,1 865,"136,48",571,82033,13.18403998,37.72819592
113,Corleone,Palermo,11 286,"229,46",550,82034,13.3015804,37.81204186
114,Custonaci,Trapani,5 392,"69,90",186,81007,12.67554057,38.07802811
115,Delia,Caltanissetta,4 325,"12,40",420,85006,13.92762543,37.35605898
116,Enna,Enna,27 894,"358,75",931,86009,14.27909392,37.56705701
117,Erice,Trapani,28 012,"47,34",751,81008,12.58703706,38.03810338
118,Falcone,Messina,2 874,"9,34",3,83019,15.08228905,38.11643166
119,Favara,Agrigento,32 972,"81,88",338,84017,13.65646307,37.31070969
120,Favignana,Trapani,4 185,"38,32",6,81009,12.32724071,37.93177599
121,Ferla,Siracusa,2 600,"24,90",556,89008,14.94146541,37.11861277
122,Ficarazzi,Palermo,11 484,"3,53",23,82035,13.46320747,38.08835152
123,Ficarra,Messina,1 566,"18,66",450,83020,14.8274778,38.1104203
124,Fiumedinisi,Messina,1 559,"36,69",200,83021,15.38231276,38.02502794
125,Fiumefreddo di Sicilia,Catania,9 690,"12,16",62,87016,15.20820135,37.7929303
126,Floresta,Messina,516,"31,33",1 275,83022,14.90945173,37.98770217
127,Floridia,Siracusa,22 685,"26,48",111,89009,15.15289178,37.08211457
128,Fondachelli-Fantina,Messina,1 090,"42,21",708,83023,15.1730753,37.98597775
129,Forza d'Agrò,Messina,878,"11,19",420,83024,15.3351305,37.91411237
130,Francavilla di Sicilia,Messina,3 901,"82,73",330,83025,15.13614134,37.90124653
